,abs_acc
0,9.830339947287525
1,9.86383299460242
2,10.13852931477556
3,10.011817743268049
4,9.890990684047662
5,10.10647011969129
6,10.05686823929769
7,9.981988008259584
8,9.95976760682495
9,9.826212444326256
10,9.889497909880749
11,10.021898398535553
12,9.883085833858026
13,9.985225494349608
14,10.195489697130132
15,9.956783790978402
16,9.888860365392937
17,9.928955518116625
18,9.806094363644108
19,9.87163552972185
20,9.972192093490914
21,9.840838740055643
22,9.961011773614798
23,10.063511057957601
24,9.794069664880244
25,10.004459244053626
26,10.320168829579762
27,9.980273217766214
28,9.908032755158404
29,9.900216030430585
30,9.760054618059387
31,9.977791375655555
32,10.06115107197619
33,9.806674440150049
34,9.886216933048326
35,9.861517706258725
36,9.593652095300229
37,9.856458835609759
38,9.981145564907907
39,9.719758143945803
40,10.086778725266472
41,10.342541476505657
42,10.025485428014845
43,10.13792566851197
44,10.52156137502019
45,10.026436467943908
46,10.051696127647052
47,10.338973732051276
48,10.110650786443006
49,9.886884548500115
50,9.72558532545873
51,9.605626114894166
52,9.69635649944723
53,9.548781163034405
54,9.835733189720605
55,10.621968104022626
56,10.97220648903264
57,10.884298510122743
58,10.858621943837909
59,10.612434275251001
60,10.607814116937432
61,10.24014226318026
62,9.032867436186464
63,9.001877049473693
64,9.882844596156827
65,9.594132030918551
66,9.576834197925365
67,9.775863724297524
68,9.499886813969793
69,9.72194019547601
70,9.957215342246503
71,9.87657187673551
72,10.140600831169175
73,10.359415110932897
74,10.368540389942492
75,10.781849980574634
76,10.984244198623875
77,10.284692473225627
78,10.16888163754183
79,10.23489240935124
80,9.924453290172291
81,9.425131062552717
82,9.297918942913986
83,9.14292920065609
84,9.109992109116693
85,9.053788204108141
86,8.801139919219297
87,9.093460865954151
88,9.77313430069259
89,9.899467475143364
90,10.440673368777878
91,10.933423188821468
92,11.048490573094893
93,11.206134672161767
94,10.689702684873389
95,10.120815315071154
96,9.915794054902817
97,9.942876824322418
98,10.01525709766336
99,10.093834265308937
100,9.769114047899894
101,9.373950520088407
102,8.655782744369109
103,8.445514226673543
104,8.770993347337019
105,8.998818029194894
106,9.452385537148954
107,10.415712408625167
108,10.959297095432724
109,11.490134563260936
110,11.776287045256355
111,11.67073211854296
112,11.046089327237887
113,10.5284704529951
114,10.213409558404344
115,9.64081000780615
116,9.565406644962398
117,9.535479309666748
118,8.934461634367818
119,9.207704677353524
120,9.854003527870072
121,9.799010788665257
122,9.62017439651617
123,9.965975076795234
124,10.148017485397661
125,10.327295087340156
126,10.23014822611729
127,10.391695257134188
128,10.288855581199568
129,10.576376973283573
130,10.413011043712025
131,10.431458510177292
132,10.113220085598615
133,9.468026023442796
134,8.926140795154325
135,8.927510119162164
136,8.775500926518728
137,8.528023480324963
138,9.166025833513553
139,9.636328745695911
140,10.066754929470395
141,10.789864020996577
142,11.626071373871962
143,11.911571050575485
144,11.687546424624973
145,10.905022080296142
146,10.371558060470063
147,9.605325284195473
148,8.963244707262877
149,8.724235594537213
150,8.580626645882797
151,8.332671330835046
152,8.945147815314161
153,9.297250689770369
154,9.127359361337016
155,9.834896292188882
156,10.397063379159588
157,10.595829625031808
158,11.225735830873697
159,11.553670150644267
160,11.515593698742398
161,11.128806612292193
162,10.756365381228266
163,10.608469491808656
164,10.320117964227093
